DATE,VOUCHERTYPENAME,VOUCHERNUMBER,Reference,Cost_Category,NARRATION,Buyer_Name,Address_1,Address_2,Address_3,Address_4,Pincode,State_Name,Country,Registration_Type,Company_GSTIN,POS,EX_RATE ,DebitLedger,AmountDebitLedger,Commission_for_facilitation_CG,Cost_Centre,IGST Outward-MH,SGST Outward-MH,CGST Outward-MH
20260508,VAR-INV,FP-I-A00096-FY27,FP-I-A00096-FY27,Commerce Global,Invoice for Transaction Fees & charges for the month of April-26 for Storefront,The Surtee Group,"8th floor, Sandton City Office Towers,","Cnr 5th and Rivonia Road, Sandton",4170188744,emp,emp,Sandton,South Africa,Unregistered/Consumer,emp,South Africa,92.88,A84_The Power Of Trading (Pty) Ltd_C,USD 88.54 ,USD 88.54 ,Sfr_B2C_Tra_CG,0,0,0
20260508,VAR-INV,FP-I-A00097-FY27,FP-I-A00097-FY27,Commerce Global,Invoice for Transaction Fees & charges for the month of April-26 for Website,Footlocker Philippines,"Sahid Sudirman Center, 26th Floor, Jl. Jend.","Sudirman Kav. 86, Jakarta Pusat 10220, Indonesia",725392757022000,emp,emp,Jakarta Pusat,Indonesia,Unregistered/Consumer,emp,Indonesia,92.88,A128_Pt Map Ftl Adiperkasa_C,USD 20.99 ,USD 20.99 ,Sfr_B2C_Tra_CG,0,0,0
