DATE,VOUCHERTYPENAME,VOUCHERNUMBER,Reference,Cost_Category,NARRATION,Buyer_Name,Address_1,Address_2,Address_3,Address_4,Pincode,State_Name,Registration_Type,Company_GSTIN,POS,Country,DebitLedger,AmountDebitLedger,Merchant Setup Fee_Domestic,Cost_Centre2,IGST Outward-MH,SGST Outward-MH,CGST Outward-MH
20260518,ONE-INV,FC-I-A00493-FY27,OF-FY-0308,Commerce India,Invoice raised for against OF No.: OF-FY-0308 for one time setup fee for Storefront (B2B),Longevity Health Ventures Private Limited,"Shop No.3, Ground Floor",Jaydeep Building,Behind Petrol Pump,Opp. D.Y. Patil University Shiravane Gaon,400706,Maharashtra,Regular,27AACCL4851D1ZO,Maharashtra,India,15247_Longevity Health Ventures Private Limited_C,-118000,100000,Sfr_B2B_Set_CI,0,9000,9000
20260518,ONE-INV,FP-I-A00100-FY27,OF-FY-0303,Commerce India,Invoice raised for against OF No.: OF-FY-0303 for one time setup fee for TMS,Tezz Logistics and Express Private Limited,"Ground Floor, A9, Shanti Nagar","Azad Mohalla, S P Road",Near Gausiya Masjid Wadala East,"Antop Hill, Mumbai",400037,Maharashtra,Regular,27AAICT1464G1Z9,Maharashtra,India,A173_Tezz Logistics And Express Private Limited_C,-118000,100000,TMS_Com_Set_CI,0,9000,9000
20260518,ONE-INV,FC-I-A00492-FY27,OF-FY-0296,Commerce India,Invoice raised for against OF No.: OF-FY-0296 for one time setup fee for Konnect,Joyalukkas India Limited,5/309 - 3 ( New 23/604 - 1 ),Joyalukkas India Ltd,Bishop Alapatt Road,Fathima Nagar,680005,Kerala,Regular,29AABCJ1087G1ZJ,Kerala,India,15150_Joyalukkas India Limited_C,-472000,400000,Kon_Com_Set_CI,72000,0,0
